date,time,temperature_2m,temp_f
2026-06-25,2026-06-25T11:30,17.4,63.3
2026-06-25,2026-06-25T11:45,17.6,63.7
2026-06-25,2026-06-25T15:00,13.8,56.8
2026-06-26,2026-06-26T08:30,9.3,48.7
2026-06-26,2026-06-26T09:30,11.0,51.8
2026-06-26,2026-06-26T09:45,11.5,52.7
2026-06-26,2026-06-26T10:00,11.9,53.4
2026-06-26,2026-06-26T10:15,12.3,54.1
2026-06-26,2026-06-26T10:30,12.6,54.7
2026-06-26,2026-06-26T11:30,11.0,51.8
2026-06-26,2026-06-26T14:45,7.8,46.0
2026-06-27,2026-06-27T01:00,2.9,37.2
2026-06-27,2026-06-27T08:45,7.2,45.0
2026-06-27,2026-06-27T13:30,6.9,44.4
2026-06-28,2026-06-28T01:30,2.7,36.9
2026-06-28,2026-06-28T09:00,6.7,44.1
2026-06-28,2026-06-28T13:30,8.7,47.7
2026-06-29,2026-06-29T06:15,5.8,42.4
2026-06-29,2026-06-29T14:45,19.0,66.2
2026-06-30,2026-06-30T03:30,5.2,41.4
2026-06-30,2026-06-30T11:15,14.3,57.7
2026-07-01,2026-07-01T03:45,2.0,35.6
2026-07-01,2026-07-01T11:30,7.7,45.9
2026-07-02,2026-07-02T01:30,1.8,35.2
2026-07-02,2026-07-02T11:15,10.7,51.3
2026-07-03,2026-07-03T02:30,3.2,37.8
2026-07-03,2026-07-03T10:00,10.0,50.0
2026-07-04,2026-07-04T01:00,4.8,40.6
2026-07-04,2026-07-04T08:45,8.4,47.1
2026-07-04,2026-07-04T13:30,12.4,54.3
2026-07-05,2026-07-05T01:30,2.6,36.7
2026-07-05,2026-07-05T08:45,5.9,42.6
2026-07-05,2026-07-05T13:30,10.0,50.0
2026-07-06,2026-07-06T05:15,0.8,33.4
2026-07-06,2026-07-06T15:00,18.6,65.5
2026-07-07,2026-07-07T14:45,20.5,68.9
2026-07-08,2026-07-08T00:15,10.1,50.2
2026-07-08,2026-07-08T10:00,11.4,52.5
2026-07-09,2026-07-09T03:30,6.9,44.4
2026-07-09,2026-07-09T11:15,11.3,52.3
2026-07-10,2026-07-10T03:30,4.5,40.1
2026-07-10,2026-07-10T11:00,12.4,54.3
2026-07-11,2026-07-10T23:15,7.1,44.8
2026-07-11,2026-07-11T03:30,4.0,39.2
2026-07-11,2026-07-11T08:30,7.4,45.3
2026-07-11,2026-07-11T13:00,13.7,56.7
2026-07-12,2026-07-12T00:30,5.4,41.7
2026-07-12,2026-07-12T08:30,8.6,47.5
2026-07-12,2026-07-12T13:00,10.7,51.3
2026-07-13,2026-07-13T01:30,2.3,36.1
2026-07-13,2026-07-13T11:15,14.0,57.2
2026-07-14,2026-07-13T23:15,7.0,44.6
2026-07-14,2026-07-14T04:45,1.2,34.2
2026-07-14,2026-07-14T09:30,13.7,56.7
2026-07-14,2026-07-14T13:30,20.6,69.1
